年度/Year,月份/Month,能源別/Energy Type,發電站名稱/Station Name,發電量(度)/Power Generation(kWh)
2024,04,陸域風力/Onshore Wind,台中電廠風力/Taichung Power Plant Wind Power,119151
2024,04,陸域風力/Onshore Wind,彰工風力Changgong Wind Power,7417481
2024,04,陸域風力/Onshore Wind,彰化王功風力/Changhua Wanggong Wind Power,2271183
2024,04,陸域風力/Onshore Wind,彰化永興風力/Changhua Yongxing Wind Power,1112206
2024,04,陸域風力/Onshore Wind,雲林麥寮風力/Yunlin Mailiao Wind Power,2061480
2024,04,陸域風力/Onshore Wind,雲林四湖風力/Yunlin Sihu Wind Power,1908595
2024,04,陸域風力/Onshore Wind,恆春風力/Hengchun Wind Power,605020
2024,04,陸域風力/Onshore Wind,中屯風力/Zhongtun Wind Power,-
2024,04,陸域風力/Onshore Wind,澎湖湖西風力/Penghu Huxi Wind Power,362493
2024,04,陸域風力/Onshore Wind,金沙風力/Jinsha Wind Power,403165
2024,04,陸域風力/Onshore Wind,澎湖龍門風力/Penghu Longmen Wind Power,748169
2024,04,離岸風力/Offshore Wind,離岸一期風力/Offshore Phase1 Wind Power,15798055
2024,04,太陽能/Solar,大潭電廠太陽光電/Datang Power Plant Solars,104212
2024,04,太陽能/Solar,北部儲運中心太陽光電/Northern Storage and Transportation Center Solars,76720
2024,04,太陽能/Solar,龍潭E/S太陽光電/Longtan E/S Solars,13056
2024,04,太陽能/Solar,竹工E/S太陽光電/Zhugong E/S Solars,19626
2024,04,太陽能/Solar,台中電廠太陽光電/Taichung Power Plant Solars,307962
2024,04,太陽能/Solar,台中龍井太陽光電/Taichung Longjing Solars,459566
2024,04,太陽能/Solar,中科E/S太陽光電/Zhongke E/S Solars,19334
2024,04,太陽能/Solar,彰化彰濱太陽光電/Changhua Changbin Solars,9841588
2024,04,太陽能/Solar,彰林E/S太陽光電/Changlin E/S Solars,27277
2024,04,太陽能/Solar,南投大彎太陽光電/Nantou Dawan Solars,95009
2024,04,太陽能/Solar,台南鹽田太陽光電/Tainan salt field Solars,18934107
2024,04,太陽能/Solar,台南七股太陽光電/Tainan Qigu Solars,572835
2024,04,太陽能/Solar,興達電廠太陽光電/Xingda Power Plant Solars,188720
2024,04,太陽能/Solar,永安鹽灘地太陽光電/Yongan Salt Flats Solars,375960
2024,04,太陽能/Solar,燕巢倉庫太陽光電/Yanchao Warehouse Solars,50258
2024,04,太陽能/Solar,高雄E/S太陽光電/Kaohsiung E/S Solars,85088
2024,04,太陽能/Solar,高雄保寧太陽光電/Kaohsiung Baoning Solars,71676
2024,04,太陽能/Solar,鳳山水庫太陽光電/Fengshan Reservoir Solars,213814
