hour,node,cpu_load,cpu_alloc,cpu_idle,cpu_total,gpu_power_usage,gpu_mem_used,gpu_gpu_usage,gpu_fan
2024-11-04 20:00:00,node-162,4.28,4.0,0.0,4.0,124.73083333333334,7397.0,36.666666666666664,0.0
2024-11-04 20:00:00,node-161,1.0358333333333334,2.0,2.0,4.0,59.35833333333333,294.8333333333333,2.5,0.0
2024-11-04 20:00:00,node-16,0.0,0.0,4.0,4.0,34.52583333333333,1.0,0.0,0.0
2024-11-04 20:00:00,node-164,1.0258333333333334,2.0,2.0,4.0,59.803333333333335,297.6666666666667,2.25,0.0
2024-11-04 20:00:00,node-141,1.0108333333333335,2.0,2.0,4.0,68.87333333333333,298.3333333333333,1.75,29.0
2024-11-04 20:00:00,node-14,95.08999999999999,95.0,1.0,96.0,,,,
2024-11-04 20:00:00,node-13,44.1225,44.0,0.0,44.0,,,,
2024-11-04 20:00:00,node-12,44.093333333333334,44.0,0.0,44.0,,,,
2024-11-04 20:00:00,node-15,0.03416666666666667,1.0,3.0,4.0,36.2025,6863.0,0.0,0.0
2024-11-04 21:00:00,node-166,1.0158333333333334,2.0,2.0,4.0,71.34750000000001,294.6666666666667,2.0,0.0
2024-11-04 21:00:00,node-32,26.08583333333333,31.666666666666668,0.3333333333333333,32.0,101.74374999999999,7682.479166666667,32.229166666666664,0.0
2024-11-04 21:00:00,node-19,78.96,79.0,1.0,80.0,,,,
2024-11-04 21:00:00,node-18,34.29333333333333,36.0,0.0,36.0,,,,
2024-11-04 21:00:00,node-172,0.006666666666666667,0.0,4.0,4.0,55.17583333333334,1.0,0.0,30.0
2024-11-04 21:00:00,node-171,0.0016666666666666668,0.0,4.0,4.0,59.84,1.0,0.0,30.0
2024-11-04 21:00:00,node-17,36.0025,36.0,0.0,36.0,,,,
2024-11-04 21:00:00,node-168,1.0208333333333333,2.0,2.0,4.0,63.248333333333335,295.3333333333333,2.75,0.0
